name	probe_name	x	y	z	hemisphere	impedance	shank_id	location
e000	Neuronexus probe (4 x 1)	n/a	n/a	n/a	n/a	-0.001	Group1	ls
e002	Neuronexus probe (4 x 1)	n/a	n/a	n/a	n/a	-0.001	Group1	ls
e004	Neuronexus probe (4 x 1)	n/a	n/a	n/a	n/a	-0.001	Group1	ls
e006	Neuronexus probe (4 x 1)	n/a	n/a	n/a	n/a	-0.001	Group1	ls
e008	Neuronexus probe (4 x 1)	n/a	n/a	n/a	n/a	-0.001	Group2	ls
e010	Neuronexus probe (4 x 1)	n/a	n/a	n/a	n/a	-0.001	Group2	ls
e012	Neuronexus probe (4 x 1)	n/a	n/a	n/a	n/a	-0.001	Group2	ls
e014	Neuronexus probe (4 x 1)	n/a	n/a	n/a	n/a	-0.001	Group2	ls
e016	Neuronexus probe (4 x 1)	n/a	n/a	n/a	n/a	-0.001	Group5	ls
e018	Neuronexus probe (4 x 1)	n/a	n/a	n/a	n/a	-0.001	Group5	ls
e020	Neuronexus probe (4 x 1)	n/a	n/a	n/a	n/a	-0.001	Group5	ls
e022	Neuronexus probe (4 x 1)	n/a	n/a	n/a	n/a	-0.001	Group5	ls
e024	Neuronexus probe (4 x 1)	n/a	n/a	n/a	n/a	-0.001	Group7	ls
e026	Neuronexus probe (4 x 1)	n/a	n/a	n/a	n/a	-0.001	Group7	ls
e028	Neuronexus probe (4 x 1)	n/a	n/a	n/a	n/a	-0.001	Group7	ls
e030	Neuronexus probe (4 x 1)	n/a	n/a	n/a	n/a	-0.001	Group7	ls
e003	Neuronexus probe (4 x 8)	n/a	n/a	n/a	n/a	-0.001	Group4	ls
e005	Neuronexus probe (4 x 8)	n/a	n/a	n/a	n/a	-0.001	Group4	ls
e007	Neuronexus probe (4 x 8)	n/a	n/a	n/a	n/a	-0.001	Group4	ls
e009	Neuronexus probe (4 x 1)	n/a	n/a	n/a	n/a	-0.001	Group3	ls
e011	Neuronexus probe (4 x 1)	n/a	n/a	n/a	n/a	-0.001	Group3	ls
e013	Neuronexus probe (4 x 1)	n/a	n/a	n/a	n/a	-0.001	Group3	ls
e015	Neuronexus probe (4 x 1)	n/a	n/a	n/a	n/a	-0.001	Group3	ls
e017	Neuronexus probe (4 x 1)	n/a	n/a	n/a	n/a	-0.001	Group6	ls
e019	Neuronexus probe (4 x 1)	n/a	n/a	n/a	n/a	-0.001	Group6	ls
e021	Neuronexus probe (4 x 1)	n/a	n/a	n/a	n/a	-0.001	Group6	ls
e023	Neuronexus probe (4 x 1)	n/a	n/a	n/a	n/a	-0.001	Group6	ls
e025	Neuronexus probe (4 x 8)	n/a	n/a	n/a	n/a	-0.001	Group8	ls
e029	Neuronexus probe (4 x 8)	n/a	n/a	n/a	n/a	-0.001	Group8	ls
e031	Neuronexus probe (4 x 8)	n/a	n/a	n/a	n/a	-0.001	Group8	ls
