onset	duration	nwb_table	direction	trial_type	label
0.0	11822.358333333334	epochs			
5.0	2049.0	sleep_states			Awake
2055.0	7.0	sleep_states			Non-REM
2100.0	173.0	sleep_states			Non-REM
2274.0	239.0	sleep_states			Awake
2514.0	11.0	sleep_states			Non-REM
2537.0	17.0	sleep_states			Non-REM
2577.0	213.0	sleep_states			Non-REM
2791.0	11.0	sleep_states			REM
2830.0	11.0	sleep_states			REM
2896.0	20.0	sleep_states			Non-REM
2935.0	65.0	sleep_states			Non-REM
3012.0	24.0	sleep_states			Non-REM
3047.0	162.0	sleep_states			Non-REM
3210.0	16.0	sleep_states			REM
3263.0	28.0	sleep_states			REM
3292.0	5874.0	sleep_states			Awake
9167.0	85.0	sleep_states			Non-REM
9298.0	91.0	sleep_states			Non-REM
9437.0	223.0	sleep_states			Non-REM
9661.0	17.0	sleep_states			REM
9752.0	174.0	sleep_states			Non-REM
9940.0	135.0	sleep_states			Non-REM
10098.0	80.0	sleep_states			Non-REM
10187.0	110.0	sleep_states			Non-REM
10298.0	342.0	sleep_states			Awake
10641.0	19.0	sleep_states			Non-REM
10670.0	16.0	sleep_states			Non-REM
10696.0	90.0	sleep_states			Non-REM
10804.0	122.0	sleep_states			Non-REM
10978.0	18.0	sleep_states			Non-REM
10997.0	1477.0	sleep_states			Awake
11822.358333333334	1831.6749999999975	epochs			
11822.358333333334	3.6583333333328483	trials	clockwise	central alternation	
11851.316666666666	3.725000000000364	trials	clockwise	central alternation	
11857.083333333334	4.233333333331757	trials	clockwise	central alternation	
11862.208333333334	3.9083333333328483	trials	clockwise	central alternation	
11870.05	4.266666666666424	trials	clockwise	central alternation	
11878.066666666666	2.850000000000364	trials	clockwise	central alternation	
11882.516666666666	6.033333333332848	trials	clockwise	central alternation	
11889.5	3.266666666666424	trials	clockwise	central alternation	
11894.533333333333	3.649999999999636	trials	clockwise	central alternation	
11901.275	2.9083333333328483	trials	clockwise	central alternation	
11907.416666666666	3.0500000000010914	trials	clockwise	central alternation	
11912.375	3.233333333333576	trials	clockwise	central alternation	
11918.35	3.2166666666653327	trials	clockwise	central alternation	
11925.533333333333	3.008333333333212	trials	clockwise	central alternation	
11930.95	3.641666666666424	trials	clockwise	central alternation	
11937.45	3.349999999998545	trials	clockwise	central alternation	
11944.275	3.0416666666660603	trials	clockwise	central alternation	
11950.65	3.516666666666424	trials	clockwise	central alternation	
11957.4	4.141666666666424	trials	clockwise	central alternation	
11965.2	3.7166666666653327	trials	clockwise	central alternation	
11971.658333333333	3.2083333333339397	trials	clockwise	central alternation	
11977.141666666666	3.4500000000007276	trials	clockwise	central alternation	
11983.05	3.383333333333212	trials	clockwise	central alternation	
11988.308333333332	3.233333333333576	trials	clockwise	central alternation	
11993.708333333334	3.724999999998545	trials	clockwise	central alternation	
11999.891666666666	3.7083333333339397	trials	clockwise	central alternation	
12006.05	3.858333333333576	trials	clockwise	central alternation	
12014.408333333333	3.0416666666678793	trials	clockwise	central alternation	
12019.75	3.366666666666788	trials	clockwise	central alternation	
12027.025	3.008333333333212	trials	clockwise	central alternation	
12033.166666666666	3.2916666666678793	trials	clockwise	central alternation	
12046.883333333333	3.2999999999992724	trials	clockwise	central alternation	
12052.025	4.533333333332848	trials	clockwise	central alternation	
12060.758333333333	3.225000000000364	trials	clockwise	central alternation	
12069.733333333334	3.233333333333576	trials	clockwise	central alternation	
12074.458333333334	3.474999999998545	trials	clockwise	central alternation	
12080.6	4.199999999998909	trials	clockwise	central alternation	
12086.375	3.4083333333328483	trials	clockwise	central alternation	
12092.875	3.1916666666656965	trials	clockwise	central alternation	
12098.233333333334	3.0916666666671517	trials	clockwise	central alternation	
12105.3	3.1750000000010914	trials	clockwise	central alternation	
12111.216666666667	3.241666666666788	trials	clockwise	central alternation	
12117.908333333333	3.0916666666671517	trials	clockwise	central alternation	
12125.075	2.649999999999636	trials	clockwise	central alternation	
12130.35	3.375	trials	clockwise	central alternation	
12151.491666666667	4.75	trials	clockwise	central alternation	
12158.5	3.383333333333212	trials	clockwise	central alternation	
12163.925	3.4333333333343035	trials	clockwise	central alternation	
12170.083333333334	3.1999999999989086	trials	clockwise	central alternation	
12175.191666666666	4.0	trials	clockwise	central alternation	
12181.15	3.4250000000010914	trials	clockwise	central alternation	
12187.7	3.6666666666660603	trials	clockwise	central alternation	
12202.491666666667	3.016666666666424	trials	clockwise	central alternation	
12208.7	3.4583333333321207	trials	counter-clockwise	central alternation	
12215.258333333333	3.4666666666671517	trials	counter-clockwise	central alternation	
12223.508333333333	3.5333333333328483	trials	counter-clockwise	central alternation	
12232.925	4.416666666667879	trials	counter-clockwise	central alternation	
12240.5	3.75	trials	counter-clockwise	central alternation	
12246.966666666667	4.199999999998909	trials	counter-clockwise	central alternation	
12254.8	4.408333333334667	trials	counter-clockwise	central alternation	
12266.366666666667	3.725000000000364	trials	counter-clockwise	central alternation	
12278.391666666666	4.108333333333576	trials	counter-clockwise	central alternation	
12285.208333333334	3.5833333333321207	trials	counter-clockwise	central alternation	
12291.85	3.9666666666653327	trials	counter-clockwise	central alternation	
12300.591666666667	3.4333333333324845	trials	counter-clockwise	central alternation	
12314.65	3.6833333333343035	trials	counter-clockwise	central alternation	
12319.541666666666	4.3083333333343035	trials	counter-clockwise	central alternation	
12325.8	3.2916666666678793	trials	counter-clockwise	central alternation	
12331.95	3.1583333333328483	trials	counter-clockwise	central alternation	
12337.958333333334	3.024999999999636	trials	counter-clockwise	central alternation	
12349.275	3.4666666666671517	trials	counter-clockwise	central alternation	
12356.591666666667	3.6833333333324845	trials	counter-clockwise	central alternation	
12362.491666666667	3.3333333333339397	trials	counter-clockwise	central alternation	
12366.891666666666	3.7083333333339397	trials	counter-clockwise	central alternation	
12373.233333333334	3.2083333333321207	trials	counter-clockwise	central alternation	
12378.641666666666	3.258333333333212	trials	counter-clockwise	central alternation	
12384.6	3.4666666666653327	trials	counter-clockwise	central alternation	
12390.583333333334	3.6583333333328483	trials	counter-clockwise	central alternation	
12396.466666666667	3.516666666666424	trials	counter-clockwise	central alternation	
12403.1	3.6666666666660603	trials	counter-clockwise	central alternation	
12409.916666666666	3.6666666666678793	trials	counter-clockwise	central alternation	
12415.958333333334	3.4416666666656965	trials	counter-clockwise	central alternation	
12421.2	3.758333333333212	trials	counter-clockwise	central alternation	
12426.275	3.7833333333328483	trials	counter-clockwise	central alternation	
12432.7	3.4333333333324845	trials	counter-clockwise	central alternation	
12440.791666666666	3.1916666666675155	trials	counter-clockwise	central alternation	
12448.316666666666	3.724999999998545	trials	counter-clockwise	central alternation	
12455.108333333332	3.5	trials	counter-clockwise	central alternation	
12469.966666666665	4.6833333333324845	trials	counter-clockwise	central alternation	
12475.0	9.0	sleep_states			Non-REM
12477.041666666664	3.850000000000364	trials	counter-clockwise	central alternation	
12483.383333333331	3.366666666666788	trials	counter-clockwise	central alternation	
12485.0	1192.0	sleep_states			Awake
12489.133333333331	3.774999999999636	trials	counter-clockwise	central alternation	
12496.366666666665	3.1833333333343035	trials	counter-clockwise	central alternation	
12506.291666666664	3.3166666666675155	trials	counter-clockwise	central alternation	
12513.933333333332	3.524999999999636	trials	counter-clockwise	central alternation	
12519.441666666666	3.4083333333328483	trials	counter-clockwise	central alternation	
12525.708333333332	3.116666666666788	trials	counter-clockwise	central alternation	
12530.966666666665	3.366666666666788	trials	counter-clockwise	central alternation	
12536.141666666665	3.600000000000364	trials	counter-clockwise	central alternation	
12542.224999999999	3.2000000000007276	trials	counter-clockwise	central alternation	
12547.466666666665	3.9249999999992724	trials	counter-clockwise	central alternation	
12559.841666666665	3.741666666666788	trials	counter-clockwise	central alternation	
12566.216666666665	3.358333333333576	trials	counter-clockwise	central alternation	
12573.033333333331	3.6833333333343035	trials	counter-clockwise	central alternation	
12579.616666666665	3.4166666666660603	trials	counter-clockwise	central alternation	
12586.166666666664	3.7166666666671517	trials	counter-clockwise	central alternation	
12592.858333333332	3.8166666666675155	trials	counter-clockwise	central alternation	
12611.574999999999	3.4499999999989086	trials	counter-clockwise	central alternation	
12617.016666666665	3.266666666666424	trials	counter-clockwise	central alternation	
12622.55	3.649999999999636	trials	counter-clockwise	central alternation	
12628.858333333332	3.2916666666660603	trials	clockwise	central alternation	
12639.599999999999	3.5416666666660603	trials	clockwise	central alternation	
12651.849999999999	4.1833333333324845	trials	clockwise	central alternation	
12659.249999999998	3.899999999999636	trials	clockwise	central alternation	
12667.366666666665	4.241666666666788	trials	clockwise	central alternation	
12680.566666666666	5.516666666666424	trials	clockwise	central alternation	
12689.199999999999	3.850000000000364	trials	clockwise	central alternation	
12702.658333333331	4.225000000000364	trials	clockwise	central alternation	
12708.999999999998	3.3416666666671517	trials	clockwise	central alternation	
12724.249999999998	4.800000000001091	trials	clockwise	central alternation	
12734.133333333331	5.3166666666675155	trials	clockwise	central alternation	
12742.3	3.516666666666424	trials	clockwise	central alternation	
12750.349999999999	3.491666666666788	trials	clockwise	central alternation	
12756.124999999998	3.8333333333339397	trials	clockwise	central alternation	
12761.999999999998	3.483333333333576	trials	clockwise	central alternation	
12770.05	3.9249999999992724	trials	clockwise	central alternation	
12779.241666666665	3.5499999999992724	trials	clockwise	central alternation	
12786.791666666664	4.025000000001455	trials	clockwise	central alternation	
12793.05	3.9666666666653327	trials	clockwise	central alternation	
12802.816666666666	3.8166666666656965	trials	clockwise	central alternation	
12817.958333333332	3.5583333333324845	trials	clockwise	central alternation	
12824.783333333331	3.875	trials	clockwise	central alternation	
12832.333333333332	4.049999999999272	trials	clockwise	central alternation	
12840.666666666664	3.9583333333339397	trials	clockwise	central alternation	
12848.658333333331	3.983333333333576	trials	clockwise	central alternation	
12865.191666666666	3.599999999998545	trials	clockwise	central alternation	
