name	probe_name	x	y	z	hemisphere	impedance	shank_id	location
e018	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group1	hpc
e025	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group1	hpc
e019	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group1	hpc
e024	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group1	hpc
e016	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group1	hpc
e027	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group1	hpc
e017	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group1	hpc
e026	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group1	hpc
e021	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group1	hpc
e022	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group1	hpc
e020	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group1	hpc
e023	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group1	hpc
e030	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group2	hpc
e005	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group2	hpc
e031	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group2	hpc
e006	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group2	hpc
e028	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group2	hpc
e008	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group2	hpc
e029	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group2	hpc
e009	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group2	hpc
e000	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group2	hpc
e004	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group2	hpc
e001	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group2	hpc
e002	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group2	hpc
e014	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group3	hpc
e048	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group3	hpc
e013	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group3	hpc
e051	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group3	hpc
e012	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group3	hpc
e050	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group3	hpc
e010	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group3	hpc
e052	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group3	hpc
e015	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group3	hpc
e049	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group3	hpc
e011	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group3	hpc
e053	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group3	hpc
e059	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group4	hpc
e032	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group4	hpc
e056	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group4	hpc
e033	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group4	hpc
e054	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group4	hpc
e034	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group4	hpc
e055	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group4	hpc
e035	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group4	hpc
e058	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group4	hpc
e062	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group4	hpc
e060	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group4	hpc
e063	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group4	hpc
e039	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group5	hpc
e044	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group5	hpc
e038	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group5	hpc
e045	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group5	hpc
e037	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group5	hpc
e046	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group5	hpc
e036	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group5	hpc
e047	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group5	hpc
e040	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group5	hpc
e043	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group5	hpc
e041	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group5	hpc
e042	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group5	hpc
e061	Neuronexus probe (4 x 1)	n/a	n/a	n/a	n/a	-0.001	Group6	hpc
e003	Neuronexus probe (4 x 1)	n/a	n/a	n/a	n/a	-0.001	Group6	hpc
e057	Neuronexus probe (4 x 1)	n/a	n/a	n/a	n/a	-0.001	Group6	hpc
e007	Neuronexus probe (4 x 1)	n/a	n/a	n/a	n/a	-0.001	Group6	hpc
e118	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	cc
e109	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	cc
e111	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	ls
e120	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	cc
e107	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	ls
e116	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	ls
e103	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	ls
e105	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	ls
e117	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	ls
e104	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	ls
e121	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	ls
e108	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	cc
e106	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	cc
e119	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	ls
e110	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	cc
e123	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	ls
e122	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	ls
e101	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	ls
e114	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	ls
e124	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	ls
e099	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	ls
e115	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	ls
e127	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	ls
e094	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	ls
e096	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	ls
e097	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	ls
e126	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	cc
e112	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	ls
