onset	duration	nwb_table	label
0.0	6967.458333333333	epochs	
28.0	42.0	sleep_states	Non-REM
71.0	1057.0	sleep_states	Awake
1129.0	7.0	sleep_states	Non-REM
1155.0	42.0	sleep_states	Non-REM
1224.0	140.0	sleep_states	Non-REM
1365.0	7.0	sleep_states	REM
1373.0	57.0	sleep_states	Non-REM
1453.0	81.0	sleep_states	Non-REM
1535.0	839.0	sleep_states	Awake
2375.0	26.0	sleep_states	Non-REM
2427.0	22.0	sleep_states	Non-REM
2522.0	33.0	sleep_states	Non-REM
2568.0	36.0	sleep_states	Non-REM
2633.0	26.0	sleep_states	Non-REM
2660.0	16.0	sleep_states	REM
2677.0	75.0	sleep_states	Non-REM
2772.0	12.0	sleep_states	Non-REM
2861.0	8.0	sleep_states	Non-REM
2886.0	70.0	sleep_states	Non-REM
3018.0	145.0	sleep_states	Non-REM
3183.0	16.0	sleep_states	Non-REM
3214.0	14.0	sleep_states	REM
3229.0	30.0	sleep_states	Non-REM
3260.0	945.0	sleep_states	Awake
4206.0	7.0	sleep_states	Non-REM
4214.0	3531.0	sleep_states	Awake
6967.458333333333	1588.6833333333334	epochs	
6967.458333333333	1.4083333333337578	trials	
6981.641666666666	2.191666666666606	trials	
6986.925	1.4833333333326664	trials	
6990.108333333334	2.1749999999992724	trials	
7000.141666666666	1.5333333333337578	trials	
7003.224999999999	2.5333333333337578	trials	
7012.058333333333	1.941666666666606	trials	
7019.391666666666	1.9583333333330302	trials	
7073.283333333333	1.5166666666673336	trials	
7077.349999999999	2.4416666666675155	trials	
7084.5	3.058333333333394	trials	
7091.433333333333	2.066666666666606	trials	
7094.691666666667	2.33333333333303	trials	
7100.858333333334	2.0416666666660603	trials	
7126.0	1.433333333333394	trials	
7130.091666666666	1.7166666666671517	trials	
7175.8	1.9249999999992724	trials	
7183.416666666667	2.6083333333326664	trials	
7186.966666666666	2.0750000000007276	trials	
7190.65	1.9000000000005457	trials	
7193.8	2.699999999999818	trials	
7198.325	2.574999999999818	trials	
7202.483333333334	1.566666666666606	trials	
7205.633333333333	2.241666666666788	trials	
7209.75	1.9749999999994543	trials	
7212.466666666666	2.4083333333337578	trials	
7216.608333333334	1.9833333333326664	trials	
7507.05	1.824999999999818	trials	
7746.0	8.0	sleep_states	Non-REM
7755.0	450.0	sleep_states	Awake
8206.0	17.0	sleep_states	Non-REM
8224.0	352.0	sleep_states	Awake
8320.175	1.758333333335031	trials	
8324.525000000001	1.8999999999978172	trials	
8328.125	2.0916666666671517	trials	
8332.875	1.9500000000007276	trials	
8336.683333333334	1.8499999999985448	trials	
8341.141666666666	1.883333333335031	trials	
8345.441666666666	1.7333333333335759	trials	
8349.425	1.8250000000007276	trials	
8353.85	2.5583333333324845	trials	
8362.125	1.758333333333212	trials	
8366.158333333333	1.9250000000010914	trials	
8370.150000000001	2.366666666664969	trials	
8373.608333333334	2.991666666666788	trials	
8379.058333333334	1.7999999999992724	trials	
8382.650000000001	1.7833333333328483	trials	
8387.883333333333	1.758333333333212	trials	
8392.016666666666	1.8583333333335759	trials	
8396.158333333333	1.9666666666671517	trials	
8400.658333333333	1.7916666666678793	trials	
8404.458333333334	1.8500000000003638	trials	
8407.675	2.0666666666675155	trials	
8410.808333333334	2.7999999999992724	trials	
8415.266666666666	2.1583333333328483	trials	
8419.258333333333	2.274999999999636	trials	
8423.35	2.725000000000364	trials	
8427.566666666666	2.508333333335031	trials	
8432.25	1.883333333333212	trials	
8436.150000000001	2.0	trials	
8440.316666666666	1.9000000000014552	trials	
8444.416666666668	2.016666666666424	trials	
8451.625	2.0416666666678793	trials	
8455.841666666667	2.125	trials	
8459.75	2.125	trials	
8468.883333333333	1.7000000000007276	trials	
8472.941666666666	2.1916666666675155	trials	
8479.25	1.625	trials	
8482.875	2.133333333333212	trials	
8487.641666666666	2.3083333333343035	trials	
8491.3	2.1666666666678793	trials	
8495.316666666666	2.3416666666671517	trials	
8499.525000000001	2.6583333333328483	trials	
8505.208333333334	1.6916666666675155	trials	
8508.975	1.875	trials	
8512.0	2.2000000000007276	trials	
8520.716666666667	2.008333333333212	trials	
8524.975	2.4333333333324845	trials	
8529.441666666666	2.0916666666671517	trials	
8532.916666666668	3.024999999997817	trials	
8537.825	2.2166666666671517	trials	
