name	probe_name	x	y	z	hemisphere	impedance	shank_id	location
e018	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group1	n/a
e025	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group1	n/a
e019	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group1	n/a
e024	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group1	n/a
e016	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group1	n/a
e027	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group1	n/a
e017	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group1	n/a
e026	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group1	n/a
e021	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group1	n/a
e022	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group1	n/a
e020	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group1	n/a
e023	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group1	n/a
e030	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group2	n/a
e005	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group2	n/a
e031	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group2	n/a
e006	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group2	n/a
e028	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group2	n/a
e008	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group2	n/a
e029	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group2	n/a
e009	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group2	n/a
e000	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group2	n/a
e004	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group2	n/a
e001	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group2	n/a
e002	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group2	n/a
e014	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group3	n/a
e048	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group3	n/a
e013	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group3	n/a
e051	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group3	n/a
e012	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group3	n/a
e050	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group3	n/a
e010	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group3	n/a
e052	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group3	n/a
e015	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group3	n/a
e049	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group3	n/a
e011	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group3	n/a
e053	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group3	n/a
e059	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group4	n/a
e032	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group4	n/a
e056	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group4	n/a
e033	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group4	n/a
e054	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group4	n/a
e034	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group4	n/a
e055	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group4	n/a
e035	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group4	n/a
e058	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group4	n/a
e062	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group4	n/a
e060	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group4	n/a
e063	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group4	n/a
e039	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group5	n/a
e044	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group5	n/a
e038	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group5	n/a
e045	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group5	n/a
e037	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group5	n/a
e046	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group5	n/a
e036	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group5	n/a
e047	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group5	n/a
e040	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group5	n/a
e043	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group5	n/a
e041	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group5	n/a
e042	Neuronexus probe (5 x 12)	n/a	n/a	n/a	n/a	-0.001	Group5	n/a
e061	Neuronexus probe (4 x 1)	n/a	n/a	n/a	n/a	-0.001	Group6	n/a
e003	Neuronexus probe (4 x 1)	n/a	n/a	n/a	n/a	-0.001	Group6	n/a
e057	Neuronexus probe (4 x 1)	n/a	n/a	n/a	n/a	-0.001	Group6	n/a
e007	Neuronexus probe (4 x 1)	n/a	n/a	n/a	n/a	-0.001	Group6	n/a
e118	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	n/a
e109	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	n/a
e111	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	n/a
e120	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	n/a
e107	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	n/a
e116	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	n/a
e103	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	n/a
e105	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	n/a
e117	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	n/a
e104	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	n/a
e121	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	n/a
e108	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	n/a
e106	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	n/a
e119	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	n/a
e110	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	n/a
e123	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	n/a
e122	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	n/a
e101	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	n/a
e114	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	n/a
e124	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	n/a
e099	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	n/a
e115	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	n/a
e127	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	n/a
e094	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	n/a
e096	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	n/a
e097	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	n/a
e126	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	n/a
e112	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	n/a
e098	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	n/a
e125	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	n/a
e102	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	n/a
e100	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	n/a
e068	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	n/a
e091	Cambridge prob (1 x 64)	n/a	n/a	n/a	n/a	-0.001	Group7	n/a
