onset	duration	nwb_table	direction	trial_type
0.0	10263.041666666668	epochs		
10263.041666666668	1886.3374999999996	epochs		
10263.041666666668	2.6291666666656965	trials	counter-clockwise	central alternation
10272.190104166668	3.272395833333576	trials	clockwise	central alternation
10280.500813802084	4.636686197916788	trials	clockwise	central alternation
10286.091666666667	2.6583333333346673	trials	clockwise	central alternation
10294.225000000002	3.0041666666656965	trials	clockwise	central alternation
10302.912500000002	3.1291666666656965	trials	clockwise	central alternation
10315.325	2.7458333333343035	trials	clockwise	central alternation
10320.866666666669	3.037499999998545	trials	clockwise	central alternation
10340.931656901044	2.9339680989578483	trials	clockwise	central alternation
10365.20546875	2.682031250000364	trials	clockwise	central alternation
10380.279166666669	3.5416666666660603	trials	clockwise	central alternation
10395.820833333335	2.9416666666656965	trials	clockwise	central alternation
10404.362500000001	4.799999999999272	trials	clockwise	central alternation
10412.066666666668	2.7208333333346673	trials	clockwise	central alternation
10417.270833333334	3.7208333333346673	trials	clockwise	central alternation
10424.612500000001	3.445833333333212	trials	clockwise	central alternation
10437.580035909019	2.6074640909810114	trials	clockwise	central alternation
10437.580035909019	2.6074640909810114	trials	clockwise	central alternation
10452.016666666668	2.6125000000010914	trials	clockwise	central alternation
10456.616666666669	3.1583333333328483	trials	clockwise	central alternation
10480.650000000001	3.212499999999636	trials	clockwise	central alternation
10487.920833333334	2.8312500000010914	trials	clockwise	central alternation
10492.375000000002	4.016666666666424	trials	clockwise	central alternation
10501.283333333335	2.420833333331757	trials	clockwise	central alternation
10506.539583333335	4.456249999999272	trials	counter-clockwise	wheel alternation
10513.052604166667	3.4473958333346673	trials	counter-clockwise	wheel alternation
10519.241666666669	2.733333333331757	trials	counter-clockwise	wheel alternation
10523.969136555992	3.410030110677326	trials	counter-clockwise	wheel alternation
10535.3875	4.549999999999272	trials	counter-clockwise	wheel alternation
10557.341666666667	2.775000000001455	trials	counter-clockwise	wheel alternation
10563.183333333334	2.7999999999992724	trials	counter-clockwise	wheel alternation
10569.733333333334	2.7916666666678793	trials	counter-clockwise	wheel alternation
10576.049739583334	2.791927083333576	trials	counter-clockwise	wheel alternation
10580.7625	2.670833333333576	trials	counter-clockwise	wheel alternation
10586.354166666668	3.054166666666788	trials	counter-clockwise	wheel alternation
10591.45	3.045833333333576	trials	counter-clockwise	wheel alternation
10596.960481770833	3.158268229168243	trials	counter-clockwise	wheel alternation
10605.725000000002	2.9666666666653327	trials	counter-clockwise	wheel alternation
10630.859342447919	4.384407552082848	trials	counter-clockwise	wheel alternation
10638.487500000001	4.029166666667152	trials	counter-clockwise	wheel alternation
10644.235677083336	3.3763020833321207	trials	counter-clockwise	wheel alternation
10648.943652343753	3.4938476562474534	trials	counter-clockwise	wheel alternation
10665.434818522137	3.1422648111965827	trials	counter-clockwise	wheel alternation
10671.024430211386	4.215543746948242	trials	counter-clockwise	wheel alternation
10680.770833333334	4.065494791666424	trials	counter-clockwise	wheel alternation
10706.162646484376	3.5165201822928793	trials	counter-clockwise	wheel alternation
10713.182291666668	3.3166666666675155	trials	counter-clockwise	wheel alternation
10719.535970052082	3.2463216145861225	trials	counter-clockwise	wheel alternation
10732.950911458334	3.747005208333576	trials	counter-clockwise	wheel alternation
10740.000000000002	3.149999999999636	trials	counter-clockwise	wheel alternation
10755.460107421877	2.810725911458576	trials	clockwise	central alternation
10768.529166666669	3.5041666666656965	trials	clockwise	central alternation
10785.738411458333	4.207421875002183	trials	clockwise	central alternation
10793.250000000002	3.849999999998545	trials	clockwise	central alternation
10800.187500000002	5.374999999998181	trials	clockwise	central alternation
10810.466666666667	2.7291666666678793	trials	clockwise	central alternation
10823.027213541667	3.7852864583328483	trials	clockwise	central alternation
10830.854166666668	2.8072916666660603	trials	clockwise	central alternation
10834.583333333334	2.9666666666671517	trials	clockwise	central alternation
10845.316666666668	3.314062499999636	trials	clockwise	central alternation
10850.541666666668	3.1916666666656965	trials	clockwise	central alternation
10850.541666666668	3.1916666666656965	trials	clockwise	central alternation
10855.976041666667	4.057291666667879	trials	clockwise	central alternation
10872.745052083334	3.2799479166678793	trials	clockwise	central alternation
10883.604166666668	3.0125000000007276	trials	clockwise	central alternation
10890.183333333334	3.2541666666656965	trials	clockwise	central alternation
10896.491666666669	2.8317708333306655	trials	clockwise	central alternation
10902.891666666666	3.712500000001455	trials	clockwise	central alternation
10908.833333333334	2.90625	trials	clockwise	central alternation
10913.958333333334	3.3541666666660603	trials	clockwise	central alternation
10924.666666666668	2.641666666666424	trials	clockwise	central alternation
10930.237247721354	2.8710856119796517	trials	clockwise	central alternation
10948.795833333334	3.616666666668607	trials	clockwise	central alternation
10954.520833333336	3.1833333333306655	trials	clockwise	central alternation
10960.741666666669	4.229166666664241	trials	clockwise	central alternation
10966.570833333335	3.024999999997817	trials	clockwise	central alternation
10971.159681193036	3.586152140298509	trials	clockwise	central alternation
10976.586588541668	4.16341145833394	trials	clockwise	central alternation
10995.537500000002	2.3958333333321207	trials	clockwise	central alternation
11001.550000000001	2.7000000000007276	trials	clockwise	central alternation
11005.938264973958	3.774235026043243	trials	clockwise	central alternation
11012.395833333336	3.008333333331393	trials	clockwise	central alternation
11018.370833333334	3.1291666666675155	trials	clockwise	central alternation
11023.725	2.758333333333212	trials	clockwise	central alternation
11028.237500000001	3.295833333333576	trials	clockwise	central alternation
11039.50416666667	3.045833333331757	trials	clockwise	central alternation
11044.50416666667	3.024999999997817	trials	clockwise	central alternation
11052.197135416667	4.573697916668607	trials	clockwise	central alternation
11059.891992187502	3.9259765624992724	trials	clockwise	central alternation
11064.472786458335	3.4334635416671517	trials	counter-clockwise	central alternation
11070.227604166666	4.451562500000364	trials	counter-clockwise	central alternation
11075.977669270835	3.3561848958324845	trials	counter-clockwise	central alternation
11080.877539062501	3.802669270833576	trials	counter-clockwise	central alternation
11088.455208333335	4.100781250001091	trials	counter-clockwise	central alternation
11093.216666666667	4.577083333333576	trials	counter-clockwise	central alternation
11103.618229166668	3.5510416666675155	trials	counter-clockwise	central alternation
11109.670833333335	3.2916666666660603	trials	counter-clockwise	central alternation
11115.740755208335	4.650520833332848	trials	counter-clockwise	central alternation
11120.645833333334	3.5489583333328483	trials	counter-clockwise	central alternation
11127.187500000002	3.327083333333576	trials	counter-clockwise	central alternation
11134.8125	3.2447916666678793	trials	counter-clockwise	central alternation
11139.695833333335	3.4333333333324845	trials	counter-clockwise	central alternation
11152.375000000002	2.8249999999989086	trials	counter-clockwise	central alternation
11173.066666666668	2.618749999999636	trials	counter-clockwise	central alternation
11178.625000000002	3.212499999999636	trials	counter-clockwise	central alternation
11185.258333333335	3.537499999998545	trials	counter-clockwise	central alternation
11197.595833333333	3.539583333335031	trials	counter-clockwise	central alternation
11204.295833333335	2.8166666666656965	trials	counter-clockwise	central alternation
11208.851822916666	3.2440104166671517	trials	counter-clockwise	central alternation
11214.368229166668	3.998437500000364	trials	counter-clockwise	central alternation
11221.250000000002	2.849999999998545	trials	counter-clockwise	central alternation
11236.758333333335	3.216426595052326	trials	counter-clockwise	central alternation
11243.816666666668	2.6583333333328483	trials	counter-clockwise	central alternation
11249.206250000001	3.3104166666671517	trials	counter-clockwise	central alternation
11255.170833333334	3.0666666666675155	trials	counter-clockwise	central alternation
11260.804166666667	3.866666666666788	trials	counter-clockwise	central alternation
11267.142911783856	3.519588216146076	trials	counter-clockwise	central alternation
11280.931250000001	2.90625	trials	counter-clockwise	central alternation
11286.470833333333	3.070833333335031	trials	counter-clockwise	central alternation
11290.86767171224	3.8948282877609017	trials	counter-clockwise	central alternation
11297.612500000001	3.2708333333339397	trials	counter-clockwise	central alternation
11310.458333333334	2.7625000000007276	trials	counter-clockwise	central alternation
11316.466666666667	2.837500000001455	trials	counter-clockwise	central alternation
11338.620833333334	3.525000000001455	trials	counter-clockwise	central alternation
11364.454166666666	2.662500000002183	trials	counter-clockwise	central alternation
11378.595833333335	3.0749999999989086	trials	counter-clockwise	central alternation
11386.166666666668	2.8406250000007276	trials	counter-clockwise	central alternation
11391.312923177085	3.4245768229156965	trials	counter-clockwise	central alternation
11397.286637369793	4.098779296875364	trials	counter-clockwise	central alternation
11407.320833333333	3.2291666666678793	trials	counter-clockwise	central alternation
11420.334375	3.318750000000364	trials	counter-clockwise	central alternation
11425.862500000001	4.09375	trials	counter-clockwise	central alternation
11432.024934895835	4.720898437499272	trials	counter-clockwise	central alternation
11436.902864583335	3.392968750000364	trials	counter-clockwise	central alternation
11444.298437500001	4.532552083332121	trials	counter-clockwise	central alternation
11451.52369791667	3.4513020833310293	trials	counter-clockwise	central alternation
11460.738020833334	3.7244791666671517	trials	counter-clockwise	central alternation
11475.720833333333	3.054166666668607	trials	counter-clockwise	central alternation
11475.720833333333	3.054166666668607	trials	counter-clockwise	central alternation
11482.831282552084	2.9562174479178793	trials	counter-clockwise	central alternation
11489.580460611978	2.7778727213553793	trials	counter-clockwise	central alternation
11494.238541666668	3.6989583333324845	trials	counter-clockwise	central alternation
11507.483333333334	2.6833333333343035	trials	counter-clockwise	central alternation
11512.919480387372	3.8471862792957836	trials	counter-clockwise	central alternation
11519.8125	3.3625000000010914	trials	counter-clockwise	central alternation
11525.885416666668	3.514583333333576	trials	counter-clockwise	central alternation
11532.500000000002	3.6124999999992724	trials	clockwise	central alternation
11538.795833333334	3.2947916666671517	trials	clockwise	central alternation
11545.912500000002	3.008333333331393	trials	clockwise	central alternation
11550.939583333335	3.227083333333212	trials	clockwise	central alternation
11556.6625	3.3625000000010914	trials	clockwise	central alternation
11563.112500000001	3.5625	trials	clockwise	central alternation
11569.731901041669	3.7951822916656965	trials	clockwise	central alternation
11582.037500000002	3.444791666664969	trials	clockwise	central alternation
11608.537500000002	3.241666666664969	trials	clockwise	central alternation
11623.562722651164	4.678944015504385	trials	clockwise	central alternation
11633.093234634402	3.3400986989327066	trials	clockwise	central alternation
11663.195833333335	3.2278645833321207	trials	clockwise	central alternation
11669.648958333335	3.751041666666424	trials	clockwise	central alternation
11678.729166666668	3.3083333333343035	trials	clockwise	central alternation
11686.85	2.9895833333339397	trials	clockwise	central alternation
11694.304166666667	3.2000000000025466	trials	clockwise	central alternation
11703.729166666668	3.491145833333576	trials	clockwise	central alternation
11709.120052083334	3.5026041666678793	trials	clockwise	central alternation
11719.570833333333	6.068229166668971	trials	clockwise	central alternation
11735.391634114585	3.149511718749636	trials	clockwise	wheel alternation
11743.90623372396	3.2333496093760914	trials	clockwise	wheel alternation
