onset	duration	nwb_table	direction	trial_type	label
0.0	13647.65	epochs			
33.0	10.0	sleep_states			Non-REM
44.0	509.0	sleep_states			Awake
554.0	38.0	sleep_states			Non-REM
615.0	16.0	sleep_states			Non-REM
646.0	8.0	sleep_states			Non-REM
665.0	64.0	sleep_states			Non-REM
743.0	10.0	sleep_states			Non-REM
782.0	25.0	sleep_states			Non-REM
808.0	110.0	sleep_states			Awake
919.0	7.0	sleep_states			Non-REM
927.0	140.0	sleep_states			Awake
1068.0	7.0	sleep_states			Non-REM
1076.0	194.0	sleep_states			Awake
1271.0	38.0	sleep_states			Non-REM
1334.0	29.0	sleep_states			Non-REM
1387.0	8.0	sleep_states			Non-REM
1396.0	238.0	sleep_states			Awake
1635.0	8.0	sleep_states			Non-REM
1644.0	260.0	sleep_states			Awake
1905.0	14.0	sleep_states			Non-REM
1920.0	435.0	sleep_states			Awake
2356.0	10.0	sleep_states			Non-REM
2367.0	780.0	sleep_states			Awake
3148.0	8.0	sleep_states			Non-REM
3205.0	10.0	sleep_states			Non-REM
3216.0	436.0	sleep_states			Awake
3653.0	44.0	sleep_states			Non-REM
3723.0	8.0	sleep_states			Non-REM
3740.0	24.0	sleep_states			Non-REM
3765.0	171.0	sleep_states			Awake
3937.0	10.0	sleep_states			Non-REM
3948.0	526.0	sleep_states			Awake
4475.0	38.0	sleep_states			Non-REM
4578.0	13.0	sleep_states			Non-REM
4592.0	383.0	sleep_states			Awake
4976.0	32.0	sleep_states			Non-REM
5018.0	31.0	sleep_states			Non-REM
5063.0	84.0	sleep_states			Non-REM
5148.0	768.0	sleep_states			Awake
5917.0	21.0	sleep_states			Non-REM
5949.0	190.0	sleep_states			Non-REM
6175.0	33.0	sleep_states			Non-REM
6224.0	49.0	sleep_states			Non-REM
6287.0	89.0	sleep_states			Non-REM
6377.0	136.0	sleep_states			Awake
6514.0	7.0	sleep_states			Non-REM
6522.0	1227.0	sleep_states			Awake
7750.0	46.0	sleep_states			Non-REM
7826.0	90.0	sleep_states			Non-REM
7945.0	128.0	sleep_states			Non-REM
8097.0	226.0	sleep_states			Non-REM
8374.0	138.0	sleep_states			Non-REM
8513.0	27.0	sleep_states			REM
8541.0	7.0	sleep_states			Non-REM
8566.0	138.0	sleep_states			Non-REM
8705.0	15.0	sleep_states			REM
8731.0	88.0	sleep_states			Non-REM
8820.0	86.0	sleep_states			REM
8923.0	98.0	sleep_states			Non-REM
9093.0	346.0	sleep_states			Non-REM
