onset	duration	nwb_table	label
0.0	10299.8273	epochs	
13.0	9.0	sleep_states	Non-REM
23.0	459.0	sleep_states	Awake
483.0	8.0	sleep_states	Non-REM
492.0	568.0	sleep_states	Awake
1061.0	8.0	sleep_states	Non-REM
1070.0	139.0	sleep_states	Awake
1210.0	8.0	sleep_states	Non-REM
1219.0	118.0	sleep_states	Awake
1338.0	12.0	sleep_states	Non-REM
1351.0	372.0	sleep_states	Awake
1724.0	11.0	sleep_states	Non-REM
1803.0	9.0	sleep_states	Non-REM
1856.0	24.0	sleep_states	Non-REM
1919.0	22.0	sleep_states	Non-REM
1942.0	117.0	sleep_states	Awake
2060.0	14.0	sleep_states	Non-REM
2075.0	161.0	sleep_states	Awake
2237.0	12.0	sleep_states	Non-REM
2272.0	48.0	sleep_states	Non-REM
2335.0	7.0	sleep_states	Non-REM
2343.0	534.0	sleep_states	Awake
2878.0	9.0	sleep_states	Non-REM
2900.0	9.0	sleep_states	Non-REM
2963.0	7.0	sleep_states	Non-REM
2971.0	514.0	sleep_states	Awake
3486.0	15.0	sleep_states	Non-REM
3502.0	108.0	sleep_states	Awake
3611.0	16.0	sleep_states	Non-REM
3670.0	7.0	sleep_states	Non-REM
3678.0	248.0	sleep_states	Awake
3927.0	10.0	sleep_states	Non-REM
3954.0	32.0	sleep_states	Non-REM
4003.0	33.0	sleep_states	Non-REM
4057.0	8.0	sleep_states	Non-REM
4079.0	12.0	sleep_states	Non-REM
4107.0	10.0	sleep_states	Non-REM
4156.0	7.0	sleep_states	Non-REM
4164.0	561.0	sleep_states	Awake
4726.0	11.0	sleep_states	Non-REM
4824.0	20.0	sleep_states	Non-REM
4940.0	9.0	sleep_states	Non-REM
4993.0	10.0	sleep_states	Non-REM
5004.0	318.0	sleep_states	Awake
5323.0	9.0	sleep_states	Non-REM
5365.0	25.0	sleep_states	Non-REM
5419.0	10.0	sleep_states	Non-REM
5479.0	15.0	sleep_states	Non-REM
5515.0	7.0	sleep_states	Non-REM
5602.0	7.0	sleep_states	Non-REM
5620.0	16.0	sleep_states	Non-REM
5683.0	8.0	sleep_states	Non-REM
5724.0	15.0	sleep_states	Non-REM
5751.0	60.0	sleep_states	Non-REM
5821.0	71.0	sleep_states	Non-REM
5893.0	181.0	sleep_states	Awake
6075.0	9.0	sleep_states	Non-REM
6144.0	12.0	sleep_states	Non-REM
6194.0	23.0	sleep_states	Non-REM
6232.0	24.0	sleep_states	Non-REM
6257.0	153.0	sleep_states	Awake
6411.0	13.0	sleep_states	Non-REM
6457.0	13.0	sleep_states	Non-REM
6479.0	11.0	sleep_states	Non-REM
6528.0	57.0	sleep_states	Non-REM
6673.0	11.0	sleep_states	Non-REM
6685.0	195.0	sleep_states	Awake
6881.0	12.0	sleep_states	Non-REM
6927.0	7.0	sleep_states	Non-REM
6950.0	26.0	sleep_states	Non-REM
7060.0	15.0	sleep_states	Non-REM
7095.0	16.0	sleep_states	Non-REM
7143.0	31.0	sleep_states	Non-REM
7175.0	221.0	sleep_states	Awake
7397.0	18.0	sleep_states	Non-REM
7416.0	429.0	sleep_states	Awake
7846.0	26.0	sleep_states	Non-REM
7895.0	8.0	sleep_states	Non-REM
7977.0	7.0	sleep_states	Non-REM
8063.0	69.0	sleep_states	Non-REM
8145.0	52.0	sleep_states	Non-REM
8222.0	88.0	sleep_states	Non-REM
8320.0	101.0	sleep_states	Non-REM
8438.0	55.0	sleep_states	Non-REM
8503.0	17.0	sleep_states	Non-REM
8534.0	362.0	sleep_states	Non-REM
8927.0	346.0	sleep_states	Non-REM
9296.0	170.0	sleep_states	Non-REM
9467.0	22.0	sleep_states	REM
9532.0	34.0	sleep_states	Non-REM
9586.0	158.0	sleep_states	Non-REM
9755.0	294.0	sleep_states	Non-REM
10050.0	8.0	sleep_states	REM
10059.0	133.0	sleep_states	Awake
10193.0	25.0	sleep_states	Non-REM
10283.0	7.0	sleep_states	Non-REM
10291.0	485.0	sleep_states	Awake
10299.8273	2363.5799499999994	epochs	
10299.8273	1.5082750000001397	trials	
10307.085325	1.3915999999990163	trials	
10311.785100000001	1.349949999999808	trials	
10317.9015	1.183274999999412	trials	
10332.14255	1.2166250000009313	trials	
10345.358625	2.049924999999348	trials	
10349.07515	1.3415999999997439	trials	
10358.2914	1.8332499999996799	trials	
10362.882875	1.3916000000008353	trials	
10367.29935	1.916575000001103	trials	
10375.790649999999	1.308275000001231	trials	
10383.648625	1.3332750000008673	trials	
10386.565175	1.3749250000000757	trials	
10391.548275000001	1.3666249999987485	trials	
10397.83135	1.3166000000001077	trials	
10402.681125	1.433275000001231	trials	
10407.989225000001	1.2082999999984168	trials	
10417.147175	1.3166000000001077	trials	
10429.22165	1.3582750000005035	trials	
